"Species";"EstimateLogit";"Std.errorLogit";"Trend";"Presence";"Total";"Flower_colour";"Flower_shape";"Nectar_qty";"Pct_insect_dep";"Pct_wind_dep";"Pollination"
"Silene latifolia";-0.016;0.014;"Decline";276;896;"VPR";"dt";"abundant";100;0;"Insect-pollinated"
"Silene vulgaris";0.017;0.024;"Trendless";144;355;"W";"dt";"abundant";85.7142857142857;0;"Insect-pollinated"
"Sinapis arvensis";-0.056;0.014;"Decline";169;1121;"Ye";"d";"abundant";57.1428571428571;0;"Insect-pollinated"
"Sisymbrium officinale";0.055;0.019;"Increase";100;531;"Ye";"d";"little";66.6666666666667;0;"Insect-pollinated"
"Smilax aspera";0.016;0.019;"Trendless";197;286;"Ye";"d";NA;100;0;"Insect-pollinated"
"Solanum dulcamara";-0.194;0.027;"Decline";95;428;"B";"d";"absence";100;0;"Insect-pollinated"
"Solanum nigrum";-0.082;0.008;"Decline";372;1937;"W";"d";"absence";83.3333333333333;0;"Insect-pollinated"
"Solidago canadensis";-0.072;0.044;"Decline";32;90;"Ye";"h";"abundant";83.3333333333333;0;"Insect-pollinated"
"Solidago virgaurea";0.041;0.048;"Trendless";46;97;"Ye";"h";"abundant";75;0;"Insect-pollinated"
"Sonchus arvensis";-0.118;0.026;"Decline";85;447;"Ye";"h";"abundant";66.6666666666667;0;"Insect-pollinated"
"Sonchus asper";-0.007;0.009;"Trendless";556;2836;"Ye";"h";"abundant";83.3333333333333;0;"Insect-pollinated"
"Sonchus oleraceus";0.014;0.011;"Increase";388;1934;"Ye";"h";"abundant";80;0;"Insect-pollinated"
"Sorbus aria";0.001;0.034;"Trendless";87;120;"W";"d";"very abundant";100;0;"Insect-pollinated"
"Sorbus aucuparia";-0.009;0.023;"Trendless";162;330;"W";"d";"abundant";100;0;"Insect-pollinated"
"Sorbus torminalis";0.001;0.019;"Trendless";153;383;"W";"d";"little";100;0;"Insect-pollinated"
"Spartium junceum";0.216;0.055;"Increase";35;62;"Ye";"fl";NA;100;0;"Insect-pollinated"
"Stachys recta";-0.091;0.081;"Decline";31;74;"W";"l";"very abundant";66.6666666666667;0;"Insect-pollinated"
"Stachys sylvatica";-0.118;0.022;"Decline";102;319;"VPR";"l";"abundant";80;0;"Insect-pollinated"
"Stellaria graminea";0.011;0.019;"Trendless";117;261;"W";"d";"abundant";80;0;"Insect-pollinated"
"Stellaria holostea";-0.077;0.018;"Decline";225;397;"W";"d";"little";80;0;"Insect-pollinated"
"Stellaria media";-0.064;0.011;"Decline";347;1263;"W";"d";"little";71.4285714285714;0;"Insect-pollinated"
"Symphytum officinale";-0.099;0.023;"Decline";109;299;"B";"b";"abundant";80;0;"Insect-pollinated"
"Tanacetum vulgare";0.054;0.024;"Increase";96;234;"Ye";"h";"abundant";83.3333333333333;0;"Insect-pollinated"
"Taraxacum";-0.053;0.006;"Decline";115;752;"Ye";"h";NA;50;0;"Insect-pollinated"
"Teucrium chamaedrys";0.074;0.02;"Increase";218;349;"VPR";"l";"abundant";40;20;"Other"
"Teucrium scorodonia";-0.017;0.011;"Decline";360;681;"W";"l";"abundant";71.4285714285714;0;"Insect-pollinated"
"Thymus praecox";0.03;0.054;"Trendless";40;75;"VPR";"l";"abundant";100;0;"Insect-pollinated"
"Thymus pulegioides";0.006;0.052;"Trendless";35;52;"VPR";"l";"abundant";100;0;"Insect-pollinated"
"Thymus serpyllum";0.077;0.047;"Increase";54;84;"VPR";"l";"little";83.3333333333333;0;"Insect-pollinated"
"Thymus vulgaris";-0.077;0.023;"Decline";209;261;"VPR";"l";"little";83.3333333333333;0;"Insect-pollinated"
"Tilia cordata";0.102;0.029;"Increase";46;162;"W";"d";"abundant";66.6666666666667;22.2222222222222;"Insect-pollinated"
"Tilia platyphyllos";-0.079;0.03;"Decline";42;109;"W";"d";"abundant";83.3333333333333;16.6666666666667;"Insect-pollinated"
"Tordylium maximum";-0.109;0.044;"Decline";24;123;"W";"h";"abundant";100;0;"Insect-pollinated"
"Torilis arvensis";0.204;0.022;"Increase";129;516;"W";"h";NA;80;0;"Insect-pollinated"
"Torilis japonica";0.184;0.022;"Increase";78;490;"W";"h";"abundant";100;0;"Insect-pollinated"
"Torilis nodosa";0.056;0.045;"Increase";66;155;"W";"h";"abundant";100;0;"Insect-pollinated"
"Tragopogon porrifolius";0.053;0.081;"Trendless";22;58;"VPR";"h";NA;75;0;"Insect-pollinated"
"Tragopogon pratensis";-0.05;0.02;"Decline";157;480;"Ye";"h";"abundant";83.3333333333333;0;"Insect-pollinated"
"Trifolium arvense";-0.129;0.037;"Decline";51;164;"VPR";"fl";"abundant";80;0;"Insect-pollinated"
"Trifolium campestre";0.009;0.016;"Trendless";155;603;"Ye";"fl";"abundant";83.3333333333333;0;"Insect-pollinated"
"Trifolium dubium";0.029;0.024;"Increase";96;308;"Ye";"fl";"abundant";80;0;"Insect-pollinated"
"Trifolium fragiferum";0.166;0.029;"Increase";42;168;"VPR";"fl";"abundant";83.3333333333333;0;"Insect-pollinated"
"Trifolium hybridum";-0.108;0.047;"Decline";24;129;"VPR";"fl";"abundant";100;0;"Insect-pollinated"
"Trifolium incarnatum";-0.053;0.102;"Trendless";25;48;"VPR";"fl";"little";80;0;"Insect-pollinated"
"Trifolium pratense";-0.025;0.009;"Decline";749;1596;"VPR";"fl";"abundant";100;0;"Insect-pollinated"
"Trifolium repens";-0.064;0.007;"Decline";1252;2449;"W";"fl";"abundant";100;0;"Insect-pollinated"
"Tripleurospermum inodorum";0.048;0.008;"Increase";404;1681;"W";"h";"little";100;0;"Insect-pollinated"
"Trisetum flavescens";-0.002;0.033;"Trendless";87;202;"Ye";"br";"absence";25;75;"Wind-pollinated"
"Tussilago farfara";-0.096;0.052;"Decline";26;60;"Ye";"h";"abundant";100;0;"Insect-pollinated"
"Ulex europaeus";0.02;0.018;"Increase";167;272;"Ye";"fl";"little";100;0;"Insect-pollinated"
"Ulex minor";-0.038;0.025;"Decline";81;179;"Ye";"fl";NA;100;0;"Insect-pollinated"
"Ulmus minor";-0.019;0.011;"Decline";334;756;"VPR";"d";"absence";17.6470588235294;82.3529411764706;"Wind-pollinated"
"Urospermum dalechampii";0.045;0.035;"Increase";64;132;"Ye";"h";NA;100;0;"Insect-pollinated"
"Urtica dioica";-0.025;0.007;"Decline";999;1932;"Gr";"d";NA;28.5714285714286;71.4285714285714;"Wind-pollinated"
"Urtica urens";-0.084;0.036;"Decline";43;206;"Gr";"d";"absence";0;83.3333333333333;"Wind-pollinated"
"Vaccinium myrtillus";0.067;0.034;"Increase";111;143;"VPR";"d";"abundant";62.5;0;"Insect-pollinated"
"Valerianella locusta";-0.021;0.058;"Trendless";27;75;"B";"f";"little";50;0;"Insect-pollinated"
"Verbascum thapsus";-0.129;0.078;"Decline";16;60;"Ye";"d";NA;71.4285714285714;0;"Insect-pollinated"
"Verbena officinalis";-0.024;0.029;"Trendless";91;259;"B";"dt";"abundant";80;0;"Insect-pollinated"
"Veronica agrestis";-0.072;0.038;"Decline";34;197;"B";"d";"abundant";80;0;"Insect-pollinated"
"Veronica arvensis";-0.125;0.011;"Decline";432;1706;"B";"d";"abundant";80;0;"Insect-pollinated"
"Veronica chamaedrys";-0.128;0.014;"Decline";315;895;"B";"d";"abundant";80;0;"Insect-pollinated"
"Veronica hederifolia";-0.113;0.026;"Decline";59;267;"B";"d";"abundant";66.6666666666667;0;"Insect-pollinated"
"Veronica montana";0.109;0.037;"Increase";50;113;"B";"d";"abundant";100;0;"Insect-pollinated"
"Veronica officinalis";-0.006;0.024;"Trendless";111;354;"B";"d";"abundant";83.3333333333333;0;"Insect-pollinated"
"Veronica persica";-0.031;0.007;"Decline";672;2349;"B";"d";"abundant";80;0;"Insect-pollinated"
"Veronica polita";-0.005;0.06;"Trendless";16;54;"B";"d";"abundant";60;0;"Insect-pollinated"
"Veronica serpyllifolia";0.021;0.042;"Trendless";33;135;"B";"d";"abundant";100;0;"Insect-pollinated"
"Viburnum lantana";-0.032;0.016;"Decline";178;345;"W";"d";NA;80;0;"Insect-pollinated"
"Viburnum opulus";0.008;0.034;"Trendless";41;153;"W";"d";"little";75;0;"Insect-pollinated"
"Viburnum tinus";0.127;0.047;"Increase";88;165;"W";"d";NA;100;0;"Insect-pollinated"
"Vicia cracca";0.044;0.022;"Increase";121;341;"B";"fl";"abundant";100;0;"Insect-pollinated"
"Vicia hybrida";-0.186;0.069;"Decline";27;57;"Ye";"fl";NA;100;0;"Insect-pollinated"
"Vicia lathyroides";0.019;0.046;"Trendless";20;106;"VPR";"fl";"little";100;0;"Insect-pollinated"
"Vicia lutea";0.193;0.064;"Increase";18;92;"Ye";"fl";"abundant";83.3333333333333;0;"Insect-pollinated"
"Vicia sativa";-0.001;0.008;"Trendless";606;1690;"B";"fl";"abundant";66.6666666666667;0;"Insect-pollinated"
"Vicia segetalis";-0.001;0.023;"Trendless";99;406;"VPR";"fl";"abundant";66.6666666666667;0;"Insect-pollinated"
"Vicia sepium";-0.109;0.021;"Decline";196;408;"B";"fl";"abundant";80;0;"Insect-pollinated"
"Vinca minor";-0.309;0.115;"Decline";39;87;"B";"dt";"abundant";100;0;"Insect-pollinated"
"Vincetoxicum hirundinaria";0.013;0.06;"Trendless";37;82;"W";"dt";"little";100;0;"Insect-pollinated"
"Viola arvensis";-0.142;0.008;"Decline";494;1627;"Ye";"l";"abundant";50;0;"Insect-pollinated"
"Viola canina";-0.087;0.062;"Decline";38;68;"B";"l";"abundant";75;0;"Insect-pollinated"
"Viola hirta";-0.055;0.021;"Decline";62;283;"B";"l";"abundant";66.6666666666667;0;"Insect-pollinated"
"Viola odorata";-0.065;0.015;"Decline";160;650;"B";"l";"abundant";60;0;"Insect-pollinated"
"Viola reichenbachiana";0.006;0.011;"Trendless";268;723;"B";"l";"abundant";66.6666666666667;0;"Insect-pollinated"
"Viola riviniana";-0.026;0.016;"Decline";116;527;"B";"l";"abundant";57.1428571428571;0;"Insect-pollinated"
"Viola tricolor";-0.305;0.091;"Decline";21;79;"W";"l";"abundant";60;0;"Insect-pollinated"
"Vitis vinifera";-0.005;0.025;"Trendless";122;149;"Gr";"d";"absence";60;20;"Insect-pollinated"
"Vulpia bromoides";-0.029;0.025;"Decline";37;206;"Gr";"br";"absence";0;33.3333333333333;"Other"
"Vulpia myuros";0.012;0.021;"Trendless";74;445;"Gr";"br";"absence";0;57.1428571428571;"Wind-pollinated"
